,Seq#,ID#,Gender,M,R,F,FirstPurch,ChildBks,YouthBks,CookBks,DoItYBks,RefBks,ArtBks,GeogBks,ItalCook,ItalAtlas,ItalArt,Florence,Related Purchase,Yes_Florence,No_Florence,Name,Phone_No.,Address,Job
66,67,557,0,274.0,34.0,2.0,40,1,0,0,1,0,0,0,0,0,0,0,0,0,1,Sara Romero,379-718-0259,"7717 Katrina Turnpike Apt. 829
South Francis, AL 05820",Herpetologist
67,68,560,1,299.0,12.0,3.0,26,0,0,0,0,0,0,2,0,0,0,0,2,0,1,Joseph Hill,001-177-434-7099x640,"79873 Weaver Fort
Lake Bobby, MO 00513",Estate manager/land agent
68,69,565,0,294.0,10.0,3.0,20,0,1,0,0,1,0,0,0,0,0,0,0,0,1,Karen Rodriguez,8299529044,"24056 Todd Inlet
Lake Kenneth, SC 65360",Regulatory affairs officer
69,70,567,1,135.0,16.0,8.0,60,3,1,0,1,0,2,1,0,0,2,0,5,0,1,Jerome Richards,+1-344-261-3452x4736,"Unit 8363 Box 3625
DPO AP 65523",English as a foreign language teacher
70,71,579,0,230.0,10.0,2.0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Victor Martin,886-746-1272,"USCGC Hicks
FPO AP 25279",Chiropractor
71,72,582,1,140.0,2.0,1.0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Olivia Cannon,+1-613-777-8181x48520,"41028 Fuentes Valleys
East Davidtown, PA 80318",Medical technical officer
72,73,585,1,307.0,24.0,9.0,46,3,2,0,2,2,0,0,0,0,0,0,0,0,1,Nancy Williams,+1-248-772-2602x9084,"537 Jones Vista Apt. 131
Smithport, IN 86293",Accommodation manager
73,74,592,1,201.0,8.0,1.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Roger Gordon,001-554-861-8203x7186,"18627 Sydney Lights Suite 736
South Lisafort, LA 98765",Research scientist (life sciences)
74,75,594,1,193.0,16.0,2.0,20,1,0,0,0,0,1,0,0,0,0,0,1,0,1,Donald Russell,001-468-377-6223x9051,"35673 Ramirez Harbor Apt. 209
Beckerton, WA 94188",Water engineer
75,76,609,1,112.0,36.0,1.0,36,0,0,1,0,0,0,0,0,0,0,0,0,0,1,James Mora,6898122227,"1575 Wayne Manors
Port Codymouth, MN 66688",Mental health nurse
76,77,612,0,277.0,,1.0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Darrell Perkins,+1-127-918-8617x142,"USNS Rowe
FPO AA 14211",Building surveyor
77,78,619,1,49.0,10.0,2.0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Amber Green,256-346-5047,"65432 Eddie Stream Apt. 602
Wilsontown, MS 80594",Financial trader
78,79,625,1,149.0,6.0,3.0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Eric Mcmahon,(891)546-5006,"6733 Pitts Pike Suite 361
North Michellemouth, AK 91977",Speech and language therapist
79,80,633,1,294.0,24.0,2.0,30,0,0,1,0,1,0,0,0,0,0,0,0,0,1,Jennifer Thompson,488-166-7138x7198,"054 Jeffrey Shores
Barnettchester, NM 29308","Scientist, research (life sciences)"
80,81,644,1,302.0,6.0,5.0,20,0,0,1,0,0,1,0,0,0,0,0,1,0,1,Vicki Riley,7670980633,"439 Hanson Gardens Apt. 164
Salazarberg, NE 65154","Teacher, English as a foreign language"
81,82,649,1,138.0,22.0,1.0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Jacob Woods,586.560.9854x47844,"92547 Gonzales Port
Port Christinaburgh, TX 48097",Child psychotherapist
82,83,650,1,195.0,12.0,2.0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Cynthia Bernard,160-431-8989,"72334 Maria Springs
New Joel, MT 82440",Horticultural therapist
83,84,658,1,101.0,16.0,2.0,22,0,0,2,0,0,0,0,0,0,0,0,0,0,1,Edwin Herrera DVM,503.925.8939,"200 Gonzalez Via
Sherryberg, SC 41667","Doctor, hospital"
84,85,687,0,178.0,,8.0,56,1,1,2,0,0,2,2,1,0,1,0,6,0,1,Sarah Maynard,+1-798-748-9343x00532,"1929 Sullivan Well
East Brooketon, TX 55008",Diplomatic Services operational officer
85,86,706,1,128.0,10.0,2.0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Johnathan Tucker,(001)075-9859,"458 King Plains
Joshuafort, WV 20595",Community education officer
86,87,708,0,277.0,,11.0,78,2,0,1,1,2,2,3,0,0,0,1,5,1,0,Renee Taylor,516.199.4557x6885,"559 Waller Heights Suite 225
East Christinastad, IA 44786",Museum/gallery conservator
87,88,712,1,,10.0,2.0,16,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Dr. Dylan Baker III,001-185-550-7942x476,"PSC 3699, Box 8755
APO AP 64655",Housing manager/officer
88,89,721,1,292.0,32.0,,40,0,0,0,1,0,1,0,0,0,1,0,2,0,1,Michael Hoover,758.356.0250x063,"421 Melanie Knoll Apt. 854
Ashleyside, VA 68690",Futures trader
89,90,723,1,215.0,,8.0,36,0,0,0,0,1,3,2,0,0,0,1,5,1,0,Danielle Moody,356.599.4752,"77537 Sandoval Cliff Suite 209
Hernandezchester, OK 92791",Furniture designer
90,91,743,1,240.0,20.0,1.0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Lindsay Fletcher,482.217.8031x36332,"799 Daniels Radial
Rogerburgh, NV 92963",Fitness centre manager
91,92,759,0,208.0,4.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Maria Martin,187.714.3090,"6009 Chad Junctions Suite 424
East Katie, DC 46720",Artist
92,93,761,1,141.0,10.0,1.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Steven Smith,954.071.5831x05136,"64419 Miller Passage Apt. 293
Maryfort, AK 19967",Diagnostic radiographer
93,94,764,0,253.0,2.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Frank Oliver,001-707-431-5131x95540,"920 Wanda Well Apt. 818
Desireeport, AZ 82172","Therapist, music"
94,95,775,1,258.0,14.0,5.0,36,0,0,4,0,1,0,0,0,0,0,0,0,0,1,Christine Hunt,864.883.8810,"8916 Joel Unions Suite 469
Allenview, GA 40716",Risk analyst
95,96,795,1,453.0,,12.0,82,1,1,3,1,3,0,3,1,1,0,0,5,0,1,Joseph Edwards,800-594-4428x92890,"497 Henry Meadow Apt. 493
Ericmouth, CT 29859",Electronics engineer
96,97,800,1,240.0,12.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Timothy Jones,723.822.3902,"5076 Vargas Prairie Apt. 946
Morenoland, OR 64235",Education administrator
97,98,803,0,187.0,10.0,7.0,30,0,1,1,0,0,1,2,0,0,0,1,3,1,0,Stephen Hughes,335-925-2443x632,"0438 Jacob Shoal Apt. 363
Wilsonside, HI 88139",Tour manager
98,99,808,0,271.0,10.0,2.0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Erin Sparks,5278882478,"4496 Hendricks Groves
South Jeffreyburgh, VA 08742",Energy engineer
99,100,844,1,288.0,22.0,1.0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Robert Thompson,954-025-8575,"Unit 2690 Box 4624
DPO AP 33218",Theatre manager
100,101,850,0,194.0,12.0,10.0,62,3,1,2,1,1,0,1,0,0,0,0,1,0,1,David Parsons,+1-470-176-0665x515,"5962 Tanner Curve
Lake Kimberlybury, NH 21525","Programmer, applications"
101,102,874,1,274.0,14.0,11.0,68,4,1,2,1,0,1,2,2,0,1,0,6,0,1,April Hernandez,317.321.4618x840,"48872 Angela Road
Suttonhaven, NY 76436",Arts administrator
102,103,876,0,176.0,,7.0,20,2,1,1,0,0,0,0,1,0,0,0,1,0,1,Erin Mercer,001-995-653-3394,"37268 Richard Valley
Davidmouth, NC 56240","Buyer, industrial"
103,104,883,1,182.0,4.0,10.0,34,2,2,0,1,0,0,1,0,0,0,0,1,0,1,Mark Scott,(407)270-7193,"PSC 6177, Box 2232
APO AE 81904","Producer, television/film/video"
104,105,903,0,64.0,6.0,2.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Brooke Garcia,001-937-721-1525x615,"96496 Sandra Tunnel
New Louiston, CA 90411",Psychiatrist
105,106,910,0,95.0,2.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Edward Williams,001-252-480-0103,"USCGC Bowen
FPO AE 72563",Financial adviser
106,107,915,1,308.0,16.0,1.0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Kimberly Cruz,(785)775-8103x0389,"5536 Jerry Plain
Skinnerstad, MT 77123","Administrator, arts"
107,108,931,1,166.0,16.0,1.0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Cassandra Brown,672.743.6370x28559,"347 James Estate
East Richardhaven, CO 69025",Education administrator
108,109,940,1,,28.0,,32,0,0,0,1,0,1,0,0,0,1,0,2,0,1,Marie Hess,+1-156-316-0458,"342 Colon Crest
Kevinburgh, IN 91578",Architectural technologist
109,110,942,0,123.0,14.0,4.0,32,1,0,1,0,0,1,0,0,0,0,0,1,0,1,Andrea Finley,001-421-578-0683x274,"28353 Mayer Tunnel
East Zachary, DE 51575","Producer, radio"
110,111,950,1,75.0,14.0,1.0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Teresa Mccall,+1-585-861-7375,"003 Miller Extension Suite 938
Blackwellmouth, ND 08552","Production assistant, radio"
111,112,954,1,137.0,16.0,1.0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Debra Pennington,+1-333-852-3245x60879,"945 Lindsey Streets Apt. 988
North Carrieview, NC 34583",Newspaper journalist
112,113,966,1,266.0,2.0,6.0,30,1,1,0,0,0,1,1,0,0,0,0,2,0,1,Steven Wong,8977076777,"5283 Cooper Dale
Ericton, WA 76128",Animal technologist
113,114,985,1,258.0,,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Marilyn Christensen,5129501164,"54682 Myers Mall Apt. 026
Harrisonbury, CA 40435",Hydrographic surveyor
114,115,999,1,419.0,14.0,8.0,48,1,1,4,1,0,0,1,0,0,0,0,1,0,1,Shane Perez,1542788670,"9232 Carpenter Mount Suite 787
Mccoyberg, RI 97737","Teacher, primary school"
115,116,1002,0,196.0,2.0,2.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Richard Thomas,001-229-639-1739x5490,"Unit 5788 Box 6813
DPO AP 87634",Product/process development scientist
116,117,1010,1,31.0,6.0,1.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Pam Lester,1584503988,"64002 Jessica Mews Suite 940
South James, OH 40403",Social worker
117,118,1011,1,284.0,10.0,1.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Heather Washington,(791)589-3269x19771,"19820 Emily Road
Mcclainshire, VA 10275",Building control surveyor
118,119,1012,1,,14.0,2.0,18,1,0,0,0,0,1,0,0,0,0,0,1,0,1,Howard Middleton,001-557-164-1357,"11886 Jones Spurs Suite 215
West Katherine, GA 36437",Information systems manager
119,120,1048,1,189.0,12.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Jeffrey Adams,+1-929-113-3713x338,"04263 Lewis Springs Apt. 115
West Amanda, NH 02118","Research officer, government"
120,121,1054,0,74.0,32.0,2.0,36,0,0,1,0,0,0,1,0,0,0,0,1,0,1,Sheila Thomas,001-154-936-3215x182,"4765 Cory Ports
Port Linda, LA 38242",Analytical chemist
121,122,1075,1,145.0,16.0,2.0,22,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Cody Galloway,+1-654-730-9668x791,"517 Taylor Track Suite 409
Michaelport, TX 14926","Therapist, music"
122,123,1076,0,139.0,30.0,2.0,34,0,0,1,0,1,0,0,0,1,0,0,1,0,1,Angela Chavez DVM,288.083.5184x37279,"435 Ayala Drive
North Zacharyfurt, MN 45562",Contractor
123,124,1082,1,252.0,10.0,1.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Angelica Bruce,878.339.1481x442,"283 Cabrera Lakes
Lake Eric, MD 04588",Retail banker
124,125,1087,1,60.0,34.0,1.0,34,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Thomas Murphy,589.105.1227,"PSC 0664, Box 3410
APO AP 33909","Surveyor, building"
125,126,1088,0,98.0,12.0,2.0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Joshua Fernandez,9438396848,"USNV Tapia
FPO AE 11219",Financial adviser
126,127,1093,1,263.0,12.0,8.0,58,1,1,3,0,0,1,1,0,0,0,0,2,0,1,James Wade,001-670-940-2594x125,"6868 Kurt Turnpike Apt. 251
Garrettmouth, WI 97641",Media planner
127,128,1095,1,312.0,10.0,1.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Eric Harris,+1-715-462-6259,"95255 Matthew Lodge Suite 317
Goodchester, TN 67402",Animator
128,129,1101,1,257.0,2.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Victoria Hart,152.648.0886x883,"160 Kelly Village
Brandonton, MS 46382",Ergonomist
129,130,1103,1,205.0,4.0,2.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Cathy Pierce,001-983-696-0795x602,"52362 Williams Centers
Port Travisburgh, MO 34443","Research officer, political party"
130,131,1119,1,285.0,22.0,1.0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Matthew Wilson,367.855.2659,"2226 Jeffrey Locks Suite 896
Rebekahport, UT 63476",Architect
131,132,1121,1,122.0,4.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Gary Rose,+1-959-146-5151x3703,"43702 Contreras Estate
South Kayla, GA 98903",Therapeutic radiographer
132,133,1123,1,363.0,2.0,12.0,28,0,1,2,1,0,1,1,1,0,0,0,3,0,1,Christopher Barnes,+1-472-823-4565x34934,"1472 Esparza Key
Lake Jamesmouth, NJ 46927","Solicitor, Scotland"
